probID,sID,probAns,answer,correct,answerAt,publishAt,questionType
6,11,A,A,TRUE,57:52.0,01:07.9,-1
6,83,A,A,TRUE,15:27.6,01:07.9,-1
6,43,A,A,TRUE,21:11.5,01:07.9,-1
6,27,A,A,TRUE,27:51.6,01:07.9,-1
6,111,A,A,TRUE,28:08.8,01:07.9,-1
6,118,A,D,FALSE,28:15.6,01:07.9,-1
6,117,A,B,FALSE,28:19.2,01:07.9,-1
6,51,A,A,TRUE,28:20.3,01:07.9,-1
6,118,A,A,TRUE,28:24.1,01:07.9,-1
6,96,A,D,FALSE,28:30.8,01:07.9,-1
6,24,A,A,TRUE,28:36.7,01:07.9,-1
6,14,A,A,TRUE,28:37.3,01:07.9,-1
6,80,A,D,FALSE,28:50.6,01:07.9,-1
6,117,A,A,TRUE,28:51.5,01:07.9,-1
6,96,A,B,FALSE,28:53.3,01:07.9,-1
6,40,A,A,TRUE,28:53.7,01:07.9,-1
6,31,A,C,FALSE,28:55.0,01:07.9,-1
6,96,A,B,FALSE,28:55.2,01:07.9,-1
6,80,A,C,FALSE,28:59.5,01:07.9,-1
6,80,A,A,TRUE,29:05.8,01:07.9,-1
6,96,A,A,TRUE,29:06.6,01:07.9,-1
6,77,A,C,FALSE,29:12.1,01:07.9,-1
6,31,A,A,TRUE,29:17.6,01:07.9,-1
6,77,A,D,FALSE,29:22.5,01:07.9,-1
6,116,A,C,FALSE,29:24.9,01:07.9,-1
6,77,A,A,TRUE,29:29.4,01:07.9,-1
6,103,A,A,TRUE,29:45.7,01:07.9,-1
6,98,A,B,FALSE,30:28.0,01:07.9,-1
6,98,A,C,FALSE,30:34.2,01:07.9,-1
6,98,A,D,FALSE,30:42.3,01:07.9,-1
6,98,A,A,TRUE,30:48.0,01:07.9,-1
6,90,A,A,TRUE,31:04.7,01:07.9,-1
6,70,A,D,FALSE,31:54.6,01:07.9,-1
6,70,A,C,FALSE,31:58.5,01:07.9,-1
6,70,A,B,FALSE,32:02.2,01:07.9,-1
6,70,A,A,TRUE,32:07.1,01:07.9,-1
6,87,A,A,TRUE,32:10.9,01:07.9,-1
6,81,A,A,TRUE,33:29.0,01:07.9,-1
6,106,A,D,FALSE,33:54.0,01:07.9,-1
6,106,A,A,TRUE,34:19.0,01:07.9,-1
6,119,A,A,TRUE,08:55.5,01:07.9,-1
6,50,A,A,TRUE,05:34.0,01:07.9,-1
6,72,A,A,TRUE,02:16.3,01:07.9,-1
6,56,A,A,TRUE,02:59.6,01:07.9,-1
6,120,A,A,TRUE,02:13.8,01:07.9,-1
7,79,B,C,FALSE,31:26.3,30:48.6,5
7,18,B,C,FALSE,31:33.1,30:48.6,5
7,85,B,C,FALSE,31:40.1,30:48.6,5
7,6,B,B,TRUE,31:43.8,30:48.6,5
7,48,B,B,TRUE,31:45.5,30:48.6,5
7,116,B,C,FALSE,31:46.6,30:48.6,5
7,91,B,B,TRUE,31:48.2,30:48.6,5
7,30,B,B,TRUE,31:48.5,30:48.6,5
7,77,B,B,TRUE,31:48.9,30:48.6,5
7,39,B,B,TRUE,31:49.6,30:48.6,5
7,14,B,C,FALSE,31:50.2,30:48.6,5
7,113,B,C,FALSE,31:50.8,30:48.6,5
7,37,B,B,TRUE,31:51.4,30:48.6,5
7,17,B,B,TRUE,31:52.2,30:48.6,5
7,115,B,B,TRUE,31:54.8,30:48.6,5
7,75,B,B,TRUE,31:57.0,30:48.6,5
7,12,B,C,FALSE,32:00.5,30:48.6,5
7,88,B,B,TRUE,32:01.5,30:48.6,5
7,118,B,C,FALSE,32:01.6,30:48.6,5
7,60,B,B,TRUE,32:11.1,30:48.6,5
7,31,B,B,TRUE,32:11.6,30:48.6,5
7,112,B,C,FALSE,32:12.0,30:48.6,5
7,72,B,B,TRUE,32:19.0,30:48.6,5
7,95,B,C,FALSE,32:20.0,30:48.6,5
7,107,B,C,FALSE,32:20.9,30:48.6,5
7,109,B,D,FALSE,32:20.9,30:48.6,5
7,11,B,B,TRUE,32:22.1,30:48.6,5
7,108,B,B,TRUE,32:23.3,30:48.6,5
7,67,B,C,FALSE,32:23.4,30:48.6,5
7,21,B,C,FALSE,32:23.5,30:48.6,5
7,63,B,C,FALSE,32:24.6,30:48.6,5
7,5,B,B,TRUE,32:25.2,30:48.6,5
7,2,B,B,TRUE,32:29.8,30:48.6,5
7,46,B,B,TRUE,32:30.9,30:48.6,5
7,16,B,B,TRUE,32:31.3,30:48.6,5
7,49,B,B,TRUE,32:31.8,30:48.6,5
7,103,B,B,TRUE,32:36.5,30:48.6,5
7,32,B,B,TRUE,32:37.2,30:48.6,5
7,74,B,C,FALSE,32:38.3,30:48.6,5
7,93,B,C,FALSE,32:38.6,30:48.6,5
7,4,B,B,TRUE,32:39.7,30:48.6,5
7,23,B,B,TRUE,32:40.1,30:48.6,5
7,19,B,C,FALSE,32:42.3,30:48.6,5
7,76,B,B,TRUE,32:43.6,30:48.6,5
7,98,B,C,FALSE,32:44.2,30:48.6,5
7,111,B,C,FALSE,32:45.1,30:48.6,5
7,34,B,B,TRUE,32:45.8,30:48.6,5
7,99,B,B,TRUE,32:49.7,30:48.6,5
7,54,B,C,FALSE,32:52.0,30:48.6,5
7,47,B,A,FALSE,32:53.1,30:48.6,5
7,3,B,C,FALSE,32:56.6,30:48.6,5
7,100,B,D,FALSE,32:57.0,30:48.6,5
7,58,B,C,FALSE,32:58.1,30:48.6,5
7,33,B,B,TRUE,32:58.1,30:48.6,5
7,61,B,C,FALSE,32:59.5,30:48.6,5
7,29,B,C,FALSE,32:59.5,30:48.6,5
7,92,B,C,FALSE,33:01.1,30:48.6,5
7,101,B,B,TRUE,33:02.1,30:48.6,5
7,90,B,C,FALSE,33:02.5,30:48.6,5
7,82,B,A,FALSE,33:03.0,30:48.6,5
7,70,B,B,TRUE,33:05.3,30:48.6,5
7,25,B,C,FALSE,33:05.5,30:48.6,5
7,44,B,C,FALSE,33:05.6,30:48.6,5
7,52,B,C,FALSE,33:07.7,30:48.6,5
7,35,B,C,FALSE,33:09.8,30:48.6,5
7,36,B,D,FALSE,33:10.0,30:48.6,5
7,45,B,C,FALSE,33:10.8,30:48.6,5
7,27,B,C,FALSE,33:13.9,30:48.6,5
7,9,B,D,FALSE,33:16.9,30:48.6,5
7,97,B,B,TRUE,33:19.0,30:48.6,5
7,102,B,B,TRUE,33:19.3,30:48.6,5
7,96,B,C,FALSE,33:22.6,30:48.6,5
7,94,B,D,FALSE,33:24.2,30:48.6,5
7,51,B,C,FALSE,33:24.7,30:48.6,5
7,26,B,C,FALSE,33:27.3,30:48.6,5
7,53,B,C,FALSE,33:28.4,30:48.6,5
7,13,B,B,TRUE,33:34.6,30:48.6,5
7,89,B,B,TRUE,33:35.7,30:48.6,5
7,83,B,C,FALSE,33:37.8,30:48.6,5
7,104,B,B,TRUE,33:39.7,30:48.6,5
7,7,B,B,TRUE,33:41.7,30:48.6,5
7,78,B,C,FALSE,33:48.2,30:48.6,5
7,71,B,C,FALSE,33:51.2,30:48.6,5
7,40,B,B,TRUE,33:52.3,30:48.6,5
7,80,B,B,TRUE,33:54.0,30:48.6,5
7,69,B,B,TRUE,34:13.7,30:48.6,5
7,86,B,B,TRUE,34:14.5,30:48.6,5
7,105,B,C,FALSE,34:20.2,30:48.6,5
7,10,B,C,FALSE,34:21.2,30:48.6,5
7,28,B,B,TRUE,34:21.2,30:48.6,5
7,8,B,B,TRUE,34:25.2,30:48.6,5
7,64,B,B,TRUE,34:49.4,30:48.6,5
7,59,B,B,TRUE,34:52.8,30:48.6,5
7,41,B,D,FALSE,34:56.6,30:48.6,5
7,15,B,B,TRUE,35:15.0,30:48.6,5
7,62,B,B,TRUE,35:33.9,30:48.6,5
8,104,C,C,TRUE,40:01.0,38:59.1,5
8,75,C,A,FALSE,40:16.3,38:59.1,5
8,81,C,B,FALSE,40:26.7,38:59.1,5
8,111,C,B,FALSE,40:27.7,38:59.1,5
